WARN 2012-12-18 12:02:32,143 [com.fortify.server.configuration.ConfigurationMain] - Unconfigured property file found: AMConfig.properties
ERROR 2012-12-18 12:35:18,660 [com.fortify.manager.logging.ExceptionInterceptor] - Intercepted exception of type [com.fortify.manager.exception.FMUserInputException] thrown by target class [com.fortify.manager.BLL.impl.SeedManagerImpl] and method [public void com.fortify.manager.BLL.impl.SeedManagerImpl.batchSeed(java.util.List,java.util.List) throws java.lang.Exception]

com.fortify.manager.exception.FMUserInputException: Unable to parse the file, make sure this is a valid project template.
	at com.fortify.manager.DAL.migration.impl.MigrationManager36Impl$1.callBack(MigrationManager36Impl.java:75)
	at com.fortify.manager.BLL.migration.impl.AbstractMigrationManager$3.callBack(AbstractMigrationManager.java:105)
	at com.fortify.manager.service.transaction.TransactionServiceImpl.runInTransaction(TransactionServiceImpl.java:60)
	at com.fortify.manager.BLL.migration.impl.AbstractMigrationManager.runOneTimeTask(AbstractMigrationManager.java:99)
	at com.fortify.manager.DAL.migration.impl.MigrationManager36Impl.migrateProjectTemplate(MigrationManager36Impl.java:48)
	at com.fortify.manager.DAL.migration.impl.MigrationManager36Impl.preSeedingMigration(MigrationManager36Impl.java:39)
	at com.fortify.manager.BLL.impl.SeedManagerImpl.batchSeed(SeedManagerImpl.java:148)
	at com.fortify.manager.BLL.impl.SeedManagerImpl$$FastClassByCGLIB$$7c11a665.invoke(<generated>)
	at net.sf.cglib.proxy.MethodProxy.invoke(MethodProxy.java:191)
	at org.springframework.aop.framework.Cglib2AopProxy$CglibMethodInvocation.invokeJoinpoint(Cglib2AopProxy.java:688)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:150)
	at org.springframework.aop.aspectj.MethodInvocationProceedingJoinPoint.proceed(MethodInvocationProceedingJoinPoint.java:80)
	at com.fortify.manager.logging.ExceptionInterceptor.aroundBll(ExceptionInterceptor.java:46)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
	at java.lang.reflect.Method.invoke(Unknown Source)
	at org.springframework.aop.aspectj.AbstractAspectJAdvice.invokeAdviceMethodWithGivenArgs(AbstractAspectJAdvice.java:621)
	at org.springframework.aop.aspectj.AbstractAspectJAdvice.invokeAdviceMethod(AbstractAspectJAdvice.java:610)
